,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,HomeTeam,AwayTeam
1851,2013020527,20132014,R,2013-12-20T00:30:00Z,13,9,4,2,away win REG,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,Florida
2115,2013020528,20132014,R,2013-12-20T00:30:00Z,20,17,2,3,home win OT,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Calgary
1731,2013020530,20132014,R,2013-12-20T01:00:00Z,8,19,1,5,home win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,Montreal
1989,2013020531,20132014,R,2013-12-20T01:30:00Z,23,25,1,4,home win REG,right,American Airlines Center,/api/v1/venues/null,America/Chicago,-5,CDT,Dallas,Vancouver
949,2013020532,20132014,R,2013-12-20T02:30:00Z,22,21,2,4,home win REG,right,Pepsi Center,/api/v1/venues/null,America/Denver,-6,MDT,Colorado,Edmonton
1827,2013020533,20132014,R,2013-12-20T03:30:00Z,28,26,1,4,home win REG,right,Staples Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Los Angeles,San Jose
1077,2013020535,20132014,R,2013-12-21T00:00:00Z,2,3,5,3,away win REG,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,NY Islanders
1299,2013020536,20132014,R,2013-12-21T00:00:00Z,15,12,4,2,away win REG,right,PNC Arena,/api/v1/venues/null,America/New_York,-4,EDT,Carolina,Washington
1303,2013020534,20132014,R,2013-12-21T00:00:00Z,24,1,3,2,away win OT,left,Prudential Center,/api/v1/venues/null,America/New_York,-4,EDT,New Jersey,Anaheim
1334,2013020538,20132014,R,2013-12-21T01:00:00Z,13,52,2,5,home win REG,right,MTS Centre,/api/v1/venues/null,America/Winnipeg,-5,CDT,Winnipeg,Florida
1894,2013020537,20132014,R,2013-12-21T01:00:00Z,23,16,3,2,away win SO,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Vancouver
